distance_miles,name,business_type,phone,website,email,opening_hours,location,latitude,longitude,quality_score,source
0.43,Baylough's Grocery Store (historical),Marketplace,N/A,N/A,N/A,N/A,"41.480548, -87.061318",41.480548,-87.061318,0,node:2955359304
0.61,Accent Dental,Dentist,+12194654008,http://accentdentalnwi.com/,accentdentalin@gmail.com,Mo-Th 09:00-17:00; Fr 08:00-13:00,"402 Marquette Street, Valparaiso",41.489583,-87.055698,100,node:4327370520
0.65,Town and Country Market,Supermarket,+12194648606,https://town-country-market.com/locations/valparaiso/,N/A,Mo-Su 06:00-23:00,"1605 Calumet Avenue, Valparaiso",41.483588,-87.053968,100,way:458148065
0.67,LadyBug Laundry,Laundry,N/A,N/A,N/A,N/A,"41.484290, -87.053322",41.484290,-87.053322,0,node:13869502093
0.68,Bowman's Electronics,Electronics Repair,N/A,N/A,N/A,"Mo-Fr 09:00-17:30, Sa 09:00-13:00, Su closed","504 Marquette Street, Valparaiso",41.489464,-87.054205,50,way:1420837565
0.70,L A Tan,Tanning Salon,N/A,N/A,N/A,N/A,"41.483992, -87.052765",41.483992,-87.052765,0,node:13869841599
0.71,BP,Convenience,N/A,N/A,N/A,N/A,"41.482648, -87.053131",41.482648,-87.053131,0,node:13869492000
0.71,BP,Fuel,N/A,N/A,N/A,N/A,"41.482422, -87.053202",41.482422,-87.053202,0,way:1091709149
0.71,Salon Thirty Three,Beauty,N/A,N/A,N/A,N/A,"41.484282, -87.052629",41.484282,-87.052629,0,node:13869685417
0.71,Renagado Brazilian Jiu-Jitsu,Fitness Centre,N/A,N/A,N/A,N/A,"41.483956, -87.052679",41.483956,-87.052679,0,node:13869842637
0.71,New Bangkok,Restaurant,N/A,N/A,N/A,N/A,"41.483932, -87.052610",41.483932,-87.052610,0,node:13869735835
0.71,Valparasio Water Office,Government,N/A,N/A,N/A,N/A,"41.477150, -87.058150",41.477150,-87.058150,0,way:947882379
0.71,Wingstop,Fast Food,N/A,N/A,N/A,N/A,"41.485232, -87.052434",41.485232,-87.052434,0,node:13801659715
0.71,Jet's Pizza,Restaurant,N/A,N/A,N/A,N/A,"41.485146, -87.052433",41.485146,-87.052433,0,node:13801659716
0.72,BP,Fuel,N/A,N/A,N/A,N/A,"41.482558, -87.052952",41.482558,-87.052952,0,way:1091709148
0.72,Smoochie Pooch,Pet Grooming,N/A,N/A,N/A,N/A,"41.483915, -87.052536",41.483915,-87.052536,0,node:13869842445
0.72,Rent A Center,Furniture,N/A,N/A,N/A,Mo-Sa 10:00-18:00,"41.483942, -87.052418",41.483942,-87.052418,25,node:13869833593
0.72,Tom's Valpo Auto Repair,Car Repair,+12194642917,https://www.tomsvalpoautorepair.com/,N/A,Mo-Fr 08:30-17:30,"309 Evans Avenue, Valparaiso",41.478456,-87.055859,100,node:11052002930
0.73,CVS Pharmacy,Chemist,+12194642141,https://www.cvs.com/store-locator/valparaiso-in-pharmacies/1805-calumet-ave-valparaiso-in-46383/storeid=6905,N/A,24/7,"1805 Calumet Avenue, Valparaiso",41.484730,-87.052226,100,way:1091709136
0.73,Geitonia,Restaurant,N/A,N/A,N/A,N/A,"41.484188, -87.052222",41.484188,-87.052222,0,node:13869685356
0.74,Pinnacle Dermatology,Doctors,+12192428415,N/A,N/A,N/A,"41.484126, -87.052044",41.484126,-87.052044,25,node:13869615199
0.74,Wendy's,Fast Food,+12194648781,https://locations.wendys.com/united-states/in/valparaiso/1504-n-calumet,N/A,06:30-22:00,"1504 North Calumet Avenue, Valparaiso",41.482228,-87.052546,100,way:458148066
0.76,C&C Auto Repair,Car Repair,+12194642227,https://www.ccautorepairvalpo.com/,ccautorepairvalpo@gmail.com,Mo-Fr 08:30-17:00,204 Billings Street,41.476427,-87.058035,100,node:11052008113
0.77,LA Nails,Beauty,+12194629400,N/A,N/A,Mo-Fr 10:00-19:00; Sa 09:00-18:00,"1610 Calumet Avenue, Valparaiso",41.483669,-87.051628,75,node:12753400544
0.77,Noah's Ark Pediatrics,Doctors,+12194624655,https://www.noahsarkpedsvalpo.com/,N/A,N/A,"1610 Calumet Avenue, Valparaiso",41.483665,-87.051499,75,node:12753395107
0.78,Walgreens,Chemist,+12194626172,https://www.walgreens.com/locator/walgreens-1903+calumet+ave-valparaiso-in-46383/id=3680,N/A,24/7,"1903 Calumet Avenue, Valparaiso",41.486004,-87.051243,100,way:1099747560
0.78,Reason's Sinclair Service (historical),Fuel,N/A,N/A,N/A,N/A,"41.477094, -87.056295",41.477094,-87.056295,0,node:2955372592
0.78,Busy Bee Auto Repair,Car Repair,+12194760899,http://none,info@busybeeautorepair.com,Mo-Sa 08:00-18:00; Su 11:00-16:00,"1001 Calumet Avenue, Valparaiso",41.477112,-87.056122,100,node:9458236831
0.78,O'Reilly Auto Parts,Car Parts,+12197078546,https://locations.oreillyauto.com/in/valparaiso/autoparts-5027.html,N/A,Mo-Sa 07:30-22:00; Su 08:00-20:00,"1604 North Calumet Avenue, Valparaiso",41.483273,-87.051412,100,way:1180115646
0.79,Porter - Starke Services,Hospital,+12195313500,https://www.porterstarke.org,N/A,N/A,"701 Wall Street, Valparaiso",41.489690,-87.052033,75,node:10876711802
