distance_miles,name,business_type,phone,website,email,opening_hours,location,latitude,longitude,quality_score,source
0.11,LadyBug Laundry,shop:laundry,N/A,N/A,N/A,N/A,"Valparaiso, IN",41.484290,-87.053322,0,node:13869502093
0.12,Wingstop,amenity:fast_food,N/A,N/A,N/A,N/A,"Valparaiso, IN",41.485232,-87.052434,0,node:13801659715
0.12,Jet's Pizza,amenity:restaurant,N/A,N/A,N/A,N/A,"Valparaiso, IN",41.485146,-87.052433,0,node:13801659716
0.13,Town and Country Market,shop:supermarket,+12194648606,https://town-country-market.com/locations/valparaiso/,N/A,Mo-Su 06:00-23:00,"1605 Calumet Avenue, Valparaiso, IN, 46383",41.483588,-87.053968,7,way:458148065
0.13,Salon Thirty Three,shop:beauty,N/A,N/A,N/A,N/A,"Valparaiso, IN",41.484282,-87.052629,0,node:13869685417
0.14,CVS Pharmacy,shop:chemist,+12194642141,https://www.cvs.com/store-locator/valparaiso-in-pharmacies/1805-calumet-ave-valparaiso-in-46383/storeid=6905,N/A,24/7,"1805 Calumet Avenue, Valparaiso, IN, 46383",41.484730,-87.052226,7,way:1091709136
0.14,L A Tan,leisure:tanning_salon,N/A,N/A,N/A,N/A,"1615, Valparaiso, IN",41.483992,-87.052765,0,node:13869841599
0.15,Renagado Brazilian Jiu-Jitsu,leisure:fitness_centre,N/A,N/A,N/A,N/A,"1615, Valparaiso, IN",41.483956,-87.052679,0,node:13869842637
0.15,New Bangkok,amenity:restaurant,N/A,N/A,N/A,N/A,"1615, Valparaiso, IN",41.483932,-87.052610,0,node:13869735835
0.15,Smoochie Pooch,shop:pet_grooming,N/A,N/A,N/A,N/A,"1615, Valparaiso, IN",41.483915,-87.052536,0,node:13869842445
0.16,Geitonia,amenity:restaurant,N/A,N/A,N/A,N/A,"Valparaiso, IN",41.484188,-87.052222,0,node:13869685356
0.16,Rent A Center,shop:furniture,N/A,N/A,N/A,Mo-Sa 10:00-18:00,"1615, Valparaiso, IN",41.483942,-87.052418,1,node:13869833593
0.17,Pinnacle Dermatology,amenity:doctors,+12192428415,N/A,N/A,N/A,"Valparaiso, IN",41.484126,-87.052044,2,node:13869615199
0.19,Walgreens,shop:chemist,+12194626172,https://www.walgreens.com/locator/walgreens-1903+calumet+ave-valparaiso-in-46383/id=3680,N/A,24/7,"1903 Calumet Avenue, Valparaiso, IN, 46383",41.486004,-87.051243,7,way:1099747560
0.20,LA Nails,shop:beauty,+12194629400,N/A,N/A,Mo-Fr 10:00-19:00; Sa 09:00-18:00,"1610 Calumet Avenue, Valparaiso, IN, 46383",41.483669,-87.051628,5,node:12753400544
0.21,BP,shop:convenience,N/A,N/A,N/A,N/A,"Valparaiso, IN",41.482648,-87.053131,0,node:13869492000
0.21,Noah's Ark Pediatrics,amenity:doctors,+12194624655,https://www.noahsarkpedsvalpo.com/,N/A,N/A,"1610 Calumet Avenue, Valparaiso, IN, 46383",41.483665,-87.051499,6,node:12753395107
0.21,BP,amenity:fuel,N/A,N/A,N/A,N/A,"Valparaiso, IN",41.482558,-87.052952,0,way:1091709148
0.22,Taco Bell,amenity:fast_food,+12194657774,https://locations.tacobell.com/in/valparaiso/1808-calumet.html,N/A,"Mo, We-Sa 08:00-01:00; Su 08:00-00:00; Tu 08:00-21:45","1808 North Calumet Avenue, Valparaiso, IN, 46383",41.485085,-87.050605,7,way:458148067
0.23,O'Reilly Auto Parts,shop:car_parts,+12197078546,https://locations.oreillyauto.com/in/valparaiso/autoparts-5027.html,N/A,Mo-Sa 07:30-22:00; Su 08:00-20:00,"1604 North Calumet Avenue, Valparaiso, IN, 46383",41.483273,-87.051412,7,way:1180115646
0.23,BoyConn Printers,shop:copyshop,+12194622665,https://boyconn.com,projects@boyconn.com,Mo-Fr 08:00-17:30,"803 East Glendale Boulevard, Valparaiso, IN, 46383",41.485581,-87.050426,7,way:1098424756
0.24,Wendy's,amenity:fast_food,+12194648781,https://locations.wendys.com/united-states/in/valparaiso/1504-n-calumet,N/A,06:30-22:00,"1504 North Calumet Avenue, Valparaiso, IN, 46383",41.482228,-87.052546,7,way:458148066
0.26,Kosmos,amenity:fast_food,+12195488400,https://facebook.com/Kosmos-Restaurant-498348673660333/,N/A,"Mo-Fr 06:00-15:00; Sa, Su 07:00-15:00","2007 Calumet Avenue, Valparaiso, IN, 46383",41.487087,-87.050420,7,way:1099747552
0.28,Arby's,amenity:fast_food,+12194644147,https://www.arbys.com/locations/us/in/valparaiso/2101-n-calumet-ave/store-1338/,N/A,Mo-Su 10:00-22:00,"2101 Calumet Avenue, Valparaiso, IN",41.487323,-87.050174,5,way:1099747547
0.28,McDonald's,amenity:fast_food,+12194627278,https://www.mcdonalds.com/us/en-us/location/1420.html,N/A,Mo-Su 05:00-23:00,"2002 Calumet Avenue, Valparaiso, IN, 46383",41.486567,-87.049618,7,way:955146126
0.29,Bowman's Electronics,craft:electronics_repair,N/A,N/A,N/A,"Mo-Fr 09:00-17:30, Sa 09:00-13:00, Su closed","504 Marquette Street, Valparaiso, IN, 46383",41.489464,-87.054205,3,way:1420837565
0.29,Bangkok Thai & Sushi,amenity:restaurant,+12194658810,https://bangkokthaisushi.com,N/A,Tu-Su 12:00-21:00,"2103 Calumet Avenue, Valparaiso, IN, 46383",41.487689,-87.050154,7,way:1099747542
0.30,Accent Dental,amenity:dentist,+12194654008,http://accentdentalnwi.com/,accentdentalin@gmail.com,Mo-Th 09:00-17:00; Fr 08:00-13:00,"402 Marquette Street, Valparaiso, IN",41.489583,-87.055698,5,node:4327370520
0.30,Aaron's,shop:furniture,+12194628143,https://locations.aarons.com/us/in/valparaiso/2004-calumet-ave,N/A,Mo-Th 10:00-19:00; Fr 10:00-20:00; Sa 10:00-18:00; Su 12:00-17:00,"2004 Calumet Avenue, Valparaiso, IN, 46383",41.486954,-87.049377,7,way:1098424727
0.32,Sherwin-Williams,shop:paint,+12194625471,"https://www.sherwin-williams.com/store-locator/paint-store/valparaiso/in/703909?storeNumber=21590&from=Valparaiso,%20IN%2046385,%20USAo",N/A,Mo-Fr 07:00-19:00; Sa 08:00-17:00; Su 10:00-16:00,"2105 North Calumet Avenue, Valparaiso, IN, 46383",41.488110,-87.049941,7,node:8948735166
0.33,Henze's Bakery,craft:bakery,+12194641511,https://henzesbakery.com/,N/A,Tu-Su 05:00-13:00,"2105 Calumet Avenue, Valparaiso, IN, 46383",41.488116,-87.049590,7,node:8691826935
0.33,Porter - Starke Services,amenity:hospital,+12195313500,https://www.porterstarke.org,N/A,N/A,"701 Wall Street, Valparaiso, IN, 46383",41.489690,-87.052033,6,node:10876711802
0.35,Associated Pediatricians,amenity:doctors,+12194620555,https://www.associatedpediatricians.com,N/A,"Mo, Th, Fr 08:00-17:00; Tu, We 08:00-20:00; Sa 08:00-12:00","1101 Glendale Boulevard, Valparaiso, IN, 46383",41.486504,-87.048294,7,node:8790003523
0.35,MyEyeDr.,shop:optician,N/A,N/A,N/A,N/A,"Valparaiso, IN",41.487949,-87.049037,0,node:11280062409
0.35,Goodwill,shop:charity,+12195481314,https://www.goodwill.org/location/?store=a24dfd57-458a-e111-8dde-005056934050%20%20,N/A,Mo-Th 09:00-19:00; Fr 09:00-20:00; Sa 09:00-18:00; Su 12:00-17:00,"2109 Calumet Avenue, Valparaiso, IN, 46383",41.488779,-87.049777,7,way:458148069
0.39,Blue Sky Financial Partners,office:financial_advisor,+12195489370,https://financialflightplan.com/,info@financialflightplan.com,Mo-Th 09:00-17:00; Fr 09:00-15:00,"2400 Cumberland Drive, Valparaiso, IN, 46383",41.490092,-87.050605,7,node:13247532351
0.41,Schultz Floral Shop,shop:florist,+12194643588,https://www.schultzfloralshop.com/,N/A,Mo-Fr 09:00-17:00; Sa 09:00-12:00,"2204 Calumet Avenue, Valparaiso, IN",41.488738,-87.048402,5,way:1098424714
0.42,Chase,amenity:bank,+12194659700,https://locator.chase.com/in/valparaiso/2301-n-calumet-ave,N/A,Mo-Fr 09:00-17:00; Sa 09:00-14:00; Su closed,"2301 Calumet Avenue, Valparaiso, IN, 46383",41.489604,-87.049101,7,relation:14644640
0.42,Chase,amenity:atm,N/A,https://locator.chase.com/in/valparaiso/2301-n-calumet-ave,N/A,24/7,"2301 Calumet Avenue, Valparaiso, IN",41.489776,-87.049272,3,node:8762198228
0.45,CSI Payments Processing,office:company,+12194644864,https://www.csiweb.com/,N/A,N/A,"2401 Calumet Avenue, Valparaiso, IN, 46383",41.490274,-87.049115,6,node:12269725603
0.46,Family Express,amenity:fuel,N/A,https://www.familyexpress.com/locations?store_id=2,N/A,Mo-Su 05:00-23:00,"2306 Calumet Avenue, Valparaiso, IN, 46383",41.489587,-87.047909,5,way:458148071
0.47,Baylough's Grocery Store (historical),amenity:marketplace,N/A,N/A,N/A,N/A,"Valparaiso, IN",41.480548,-87.061318,0,node:2955359304
0.48,Tom's Valpo Auto Repair,shop:car_repair,+12194642917,https://www.tomsvalpoautorepair.com/,N/A,Mo-Fr 08:30-17:30,"309 Evans Avenue, Valparaiso, IN, 46383",41.478456,-87.055859,7,node:11052002930
0.48,Valparaiso Surgery Center of Porter Memorial Hospital,amenity:clinic,+12194760404,http://www.porterhealth.com/medical-services/chandana-surgery-center,N/A,N/A,"1900 Roosevelt Road, Valparaiso, IN, 46383",41.485984,-87.045513,6,node:358680794
0.49,Valparaiso Medical Center,amenity:hospital,+12192634900,http://www.porterhealth.com/locations/valparaiso-medical-center,N/A,24/7,"1900-2000 Roosevelt Road, Valparaiso, IN, 46383",41.486914,-87.045642,7,way:483142916
0.50,Drive & Shine,amenity:car_wash,+12193567788,https://driveandshine.com/valparaiso-3/,N/A,Mo-Sa 07:30-20:00; Su 08:30-19:00,"2501 Calumet Avenue, Valparaiso, IN, 46383",41.490932,-87.048546,7,node:12269725602
0.51,"Northwest Medical Group, Primary Care and Urgent Care",amenity:clinic,+12195483843,https://www.nwmedicalgroup.com/our-locations/northwest-health-urgent-care-valparaiso-3245,N/A,N/A,"2505 Calumet Avenue, Valparaiso, IN, 46383",41.491510,-87.049354,6,way:1462598228
